[32mWaf: Entering directory `/home/parallels/Desktop/NS3/ns-allinone-3.26/ns-3.26/build'[0m
[32mWaf: Leaving directory `/home/parallels/Desktop/NS3/ns-allinone-3.26/ns-3.26/build'[0m
[32mBuild commands will be stored in build/compile_commands.json[0m
[32m'build' finished successfully (0.680s)[0m
Nix Vector Enabled 
33 0 +2220.0ms
33 0 +2229.99999899999999999998ms
33 0 +2240.0ms
33 0 +2250.0ms
33 0 +2260.0ms
33 0 +2270.0ms
33 0 +2280.0ms
33 0 +2290.0ms
33 0 +2300.0ms
33 0 +2310.0ms
33 0 +2319.99999899999999999998ms
33 0 +2330.0ms
33 0 +2339.99999899999999999998ms
33 0 +2350.0ms
33 0 +2359.99999899999999999998ms
33 0 +2370.0ms
33 0 +2379.99999899999999999998ms
33 0 +2390.0ms
33 0 +2399.99999899999999999998ms
33 0 +2410.0ms
33 0 +2419.99999899999999999998ms
33 0 +2430.0ms
33 0 +2439.99999899999999999998ms
33 0 +2450.0ms
33 0 +2459.99999899999999999998ms
33 0 +2470.0ms
33 0 +2479.99999899999999999998ms
33 0 +2490.0ms
33 0 +2500.0ms
33 0 +2510.0ms
33 0 +2520.0ms
33 0 +2530.0ms
33 0 +2540.0ms
33 0 +2550.0ms
33 0 +2560.0ms
33 0 +2569.99999899999999999998ms
33 0 +2580.0ms
33 0 +2589.99999899999999999998ms
33 0 +2600.0ms
33 0 +2609.99999899999999999998ms
33 0 +2620.0ms
33 0 +2629.99999899999999999998ms
33 0 +2640.0ms
33 0 +2649.99999899999999999998ms
33 0 +2660.0ms
33 0 +2669.99999899999999999998ms
33 0 +2680.0ms
33 0 +2689.99999899999999999998ms
33 0 +2700.0ms
33 0 +2709.99999899999999999998ms
33 0 +2720.0ms
33 0 +2729.99999899999999999998ms
33 0 +2740.0ms
33 0 +2750.0ms
33 0 +2760.0ms
33 0 +2770.0ms
33 0 +2780.0ms
33 0 +2790.0ms
33 0 +2800.0ms
33 0 +2810.0ms
33 0 +2819.99999899999999999998ms
33 0 +2830.0ms
33 0 +2839.99999899999999999998ms
33 0 +2850.0ms
33 0 +2859.99999899999999999998ms
33 0 +2870.0ms
33 0 +2879.99999899999999999998ms
33 0 +2890.0ms
33 0 +2899.99999899999999999998ms
33 0 +2910.0ms
33 0 +2919.99999899999999999998ms
33 0 +2930.0ms
33 0 +2939.99999899999999999998ms
33 0 +2950.0ms
33 0 +2959.99999899999999999998ms
33 0 +2970.0ms
33 0 +2979.99999899999999999998ms
33 0 +2990.0ms
33 0 +3000.0ms
33 0 +3010.0ms
33 0 +3020.0ms
33 0 +3030.0ms
33 0 +3040.0ms
33 0 +3050.0ms
33 0 +3060.0ms
33 0 +3070.0ms
33 0 +3080.0ms
33 0 +3089.99999899999999999998ms
33 0 +3100.0ms
33 0 +3109.99999899999999999998ms
33 0 +3120.0ms
33 0 +3129.99999899999999999998ms
33 0 +3140.0ms
33 0 +3149.99999899999999999998ms
33 0 +3160.0ms
33 0 +3169.99999899999999999998ms
33 0 +3180.0ms
33 0 +3189.99999899999999999998ms
33 0 +3200.0ms
33 0 +3209.99999899999999999998ms
33 0 +3220.0ms
33 0 +3229.99999899999999999998ms
